state,district,college_name
West Bengal,Purba Medinipur,Mahishadal Raj College
Uttar Pradesh,Allahabad,SAHDEI DEVI BHUWAR PRASAD MAHAVIDYALAYA
Uttrakhand,Dehradun,"Doon Institute of Management and Research, Shyampur,Dehradun"
Gujarat,Vadodara,"SHRI JAMBU BRAHMAN KANVA SANSKRIT PATHASHALA, CHANDOD"
Jammu and Kashmir,Doda,GOVERNMENT DEGREE COLLEGE. THATHRI
Tripura,West Tripura,Bhavan's Tripura College of Teacher Education
Maharashtra,Pune,"M.C.E.Societys Abeda Inamdar Senior College for Girls, Pune 411001"
Uttar Pradesh,Jaunpur,"Rashtriya Sanskrit Snatakottar Mahavidyalaya, Dobhi, Chandavak"
Gujarat,Ahmedabad,"INSTITUTE OF LIFE SCIENCE, AHMEDABAD"
Madhya Pradesh,Indore,"Indore School of Social Work, Indore"
Uttar Pradesh,Ambedkar Nagar,"RAMMURTI MISHRA SMARAK MAHAVIDYALAYA, BHEEKHPUR, AMBEDKAR NAGAR"
Gujarat,Mehsana,Shri Sitaram Gupta Sanskrit Mahavidyalaya
Maharashtra,Hingoli,"Savitribai Phule BCA College, Vasmat"
West Bengal,Kolkata,INSTITUTE OF HOTEL AND RESTAURANT MANAGEMENT
Uttar Pradesh,Allahabad,"SMT. DURGAWATI DEVI MAHAVIDYALAYA, MANU KA PURA, MEJA,"
Maharashtra,Mumbai,Secondary Training College 3 Mahapalika Marg Mumbai 400
Tamil Nadu,Tiruchirappalli,"KMC SPECIALITY HOSPITALS (I) LTD., (Inst. Code - 355) TRICHY"
Uttar Pradesh,Fatehpur,"SMT. RAMA AGRAHARI MAHILA MAHAVIDYALAYA, BIKHARIPUR,"
Uttar Pradesh,Mathura,"B.D.M. MAHAVIDYALAYA,PAIGAON,MATHURA"
Telangana,Hyderabad,Sri Padmavathi Mahila Kalasala
Uttar Pradesh,Budaun,"Hariram Satyanarayan Institute of Higher Education, Islam Nagar"
Maharashtra,Nashik,"Neminath Jain Brahmacharya Aashram Trusts Karmaveer K.H.Abad Arts & Shri.M.G.Lodha Commerce, Chandwad, Dist.Nashik 423101"
Maharashtra,Amravati,"Mahila Kala Vanijya Mahavidyalaya , Chandur Rly."
Odisha,Sundargarh,P.S.Degree College
Uttar Pradesh,Pratapgarh,"VIRENDRA NATH SHUKLA INSTITUTE OF EDUCATION & TECHNOLOGY, SHUKULPUR, SANGIPUR, PRATAPGARH"
Uttar Pradesh,Faizabad,"Shri Tridandi Dev Sanskrit Mahavidyalaya, Kaushlesh Sadan, Katara, Ayodhya"
Maharashtra,Jalgaon,"100100-G.H. RAISONI INSTITUTE OF ENGINEERING & MANAGEMENT, JALGAON."
Punjab,Sahibzada Ajit Singh Nagar,WESTWOOD INSTITUTE OF HOTEL MANAGEMENT
Gujarat,Ahmedabad,"INSTITUTE OF ENGINEERING AND TECHNOLOGY, AHMEDABAD"
Rajasthan,Dungarpur,"SIDDHI MAHAVIDHYALAYA, SAGWARA"
Rajasthan,Ganganagar,"Shri Swami Vivekanand Co-Education College, Rawla Mandi"
Karnataka,Dharwad,"Govt. First Grade Arts, & Comm. College, Hubli."
Uttar Pradesh,Allahabad,SMT. DHANRAJI DEVI MAHILA D/C KORAON
Rajasthan,Jaipur,"Manav P G Mahavidyalaya, Jaipur"
Telangana,Nizamabad,"Rama Krishna Degree & PG College, Kamareddy (5024)"
Rajasthan,Jaipur,"Mahatma Gandhi International Girls College, Jaipur"
Maharashtra,Sangli,"Arts & Science College, ATPADI"
Karnataka,Vijayapura,"SAVITHRIBAI PULE MULTIPURPOSE WOMENS WELFARE SOCIETY GURUBASAVA ARTS COLLEGE, ATHARGA, INDI"
Uttar Pradesh,Kanpur Nagar,"SRI RADHE KRISHNA M.D. MAHAVIDYALAYA, TIWARIPUR, SARSAUL,"
Madhya Pradesh,Seoni,"Swami Vivekanand Govt. College, Lakhnadon, Seoni"
Haryana,Gurgaon,STAREX INSTITUTE OF EDUCATION
Uttar Pradesh,Gonda,"PT. DEEN DAYAL UPADHYAY GRAMODAI MAHAVIDYALAYA, BADALPUR, DIDISIA KALA, BELSAR, GONDA"
Tamil Nadu,Virudhunagar,Arasan Ganesan College of Preceptors
Gujarat,Surat,"Dr. Dayaram Patel Pharmacy College (Diploma), Bardoli, Surat"
Odisha,Ganjam,Asian Institute of Social Science and Technology
Uttar Pradesh,Faizabad,"Shri Narayan Sanskrit Mahavidyalaya,Rishi Ashram, Ranopli, Ayodhya,"
Uttar Pradesh,Kanpur Dehat,"SRI R.P. PORWAL MAHAVIDYALAYA, RAJPUR,"
Uttar Pradesh,Allahabad,"Shri Hariram Gopal Krishna Sanatan Dharma Sanskrit Mahavidyalaya, 24 Unchamandi, Prayag"
Karnataka,Bengaluru Urban,"Surarna Evening College of Commerce & Management, #16, South End Road, Basavanagudi, Bangalore-560 004(2011-12)"
Uttar Pradesh,Pratapgarh,"RAMASHRAY SHUKL MAHAVIDYALAYA, PURE CHHATUPUR, RAMPUR BAWLI, PRATAPGARH"
Haryana,Mewat,"Mewat Engineering College, Mewat"
Odisha,Baleshwar,Pathadurga Sanskrit College
Tamil Nadu,Ramanathapuram,"ALAGAPPA UNIVERSITY EVENING COLLEGE, PARAMAKKUDI"
Karnataka,Dharwad,"Al-Mizan B.Ed College, Old Hubli, Hubli."
Uttar Pradesh,Bara Banki,RAM SAJEEVAN SAVITRI DEVI DEGREE COLLEGE
Uttar Pradesh,Auraiya,"RANI AHILYABAI HOLKER RAJKIYA MAHAVIDYALAYA, BIDHUNA,"
Karnataka,Tumakuru,"GOVERNMENT WOMENS FIRST GRADE COLLEGE, PAVAGADA"
Uttar Pradesh,Etawah,"Atmaraam Sanskrit Mahavidyalaya, Bharaipur"
Uttar Pradesh,Mainpuri,MAHA BODHI MAHAVIDYALAYA MAINPURI ROAD KUSUMARA (MAINPURI)
Maharashtra,Parbhani,Khan Abdul Gaffar Khan Arts College Parthri
Uttar Pradesh,Allahabad,"M.P. GARG DEGREE COLLEGE, CHAKDADANPUR, JHALWA,"
Gujarat,Panch Mahals,Shri S. P. Patel Arts College
Gujarat,Surat,Vanita Vishram Women's College of Commerce
Maharashtra,Solapur,UMA COLLEGE OF EDUCATION COLLEGE PANDHARPUR TAL.PANDHARPUR DIST-SOLAPUR
Uttar Pradesh,Bareilly,"SRAJAN INSTITUTE OF MANAGEMENT AND TECHNOLOGY, BAREILLY"
Karnataka,Kalaburagi,National Degree College Gulbarga
Maharashtra,Ratnagiri,"SAHYADRI SHIKSHAN SANSTHAS SAHYADRI INSTITUTE OF MANAGEMENT AND RESEARCH, SAWARDE, CHIPLUN"
Gujarat,Surat,Bhagvan Mahvir College of Business Administration
Gujarat,Navsari,"S. S. Agrawal College of Arts, Commerce and Management"
Gujarat,Kheda,K.P.Patel School of Management and Computer Studies (KSMCS) - MBA Programmme.(SFI)-Kapadvanj
Punjab,Sahibzada Ajit Singh Nagar,"Ambika College of Nursing, VPO Badali, Badala Road, Distt. Mohali"
Gujarat,Sabarkantha,ARTS COLLEGE VADALI
Gujarat,Kheda,K.P.Patel School of Management and Computer Studies (KSMCS) -MCA Programmme.(SFI)-Kapadwanj
Punjab,Amritsar,Government Institute of Pharmaceutical Sciences and Engg
Dadra & Nagar Haveli,Dadra & Nagar Haveli,"Government Arts, Commerce College"
Uttar Pradesh,Allahabad,"SMT VIMALA DEVI MAHAVIDHYALAYA HUSAMGANJ PHOOLPUR, ALLAHABAD"
Uttar Pradesh,Gorakhpur,"VIMAL MAHILA MAHAVIDYALAYA, GORAKHPUR"
Maharashtra,Thane,"Shree Rahul Education Society Rahul B.Ed. College C/O Mother Mary's English High School, Rahul Park, Bhayandar (E)Thane - 401105"
Gujarat,Bharuch,M. K. Institute of Computer Studies
Karnataka,Bengaluru Urban,VAGDEVI DEGREE COLLEGE
Maharashtra,Parbhani,Sharda Arts & Science College Near Govt. Hospital Parbhani
Karnataka,Bagalkot,"RUDRAGOUDA PATIL GOVT FIRST GRADE COLLEGE, BILAGI"
Telangana,Hyderabad,"HOLY MARY DEGREE COLLEGE, BALANAGAR"
Karnataka,Bengaluru Urban,NOBEL INSTITUTE OF BUSINESS EXCELLENCE
Telangana,Hyderabad,Sri Venkateshwara College of Pharmacy
Gujarat,Ahmedabad,Rudra College of Business Administration (BBA)
Rajasthan,Bundi,"Govt. College, Bundi"
Tamil Nadu,Tiruchirappalli,"KAVERY MEDICAL CENTRE AND HOSPITAL (Inst. Code - 445), TRICHY"
Uttar Pradesh,Bulandshahr,Agrasen.(P.G.) College Sikandrabad (Bulandshahr) Mob.No.9837429096 05732-269337
Rajasthan,Bundi,"GOVT LAW COLLEGE, BUNDI"
Telangana,Medak,Sri Maruthi Degree College
Karnataka,Bengaluru Urban,Sanjay Gandhi Accidental Hospital & Research Center
Maharashtra,Aurangabad,Sillod Education Trust's Nalanda College of B.C.A
Karnataka,Gadag,"GVVSs S.M.Bhoomaraddi Arts & Commerce College, Gajendragad. Tq: Ron."
Maharashtra,Sangli,"Arts, Comm. & Science College UMADI"
Haryana,Rohtak,"G. C. for Women, Lakhanmajra"
Uttar Pradesh,Deoria,"Shri Saraswati Sanskrit Pathshala, Pandit Ke Rampur, Bariyarpur"
Punjab,Rupnagar,"Global College of Pharmacy, Anandpur Sahib"
Jammu and Kashmir,Shupiyan,"Govt. Degree College Shopian, Kashmir"
Tripura,West Tripura,TECHNO INDIA AGARTALA
Uttar Pradesh,Kheri,"MULARAM SMARAK MAHAVIDYALAYA, BHIKHAMPUR, KUMBHI,"
Kerala,Thiruvananthapuram,"LBS Institute of Technology for Women, Poojappura, Thiruvananthapuram"
Haryana,Mahendragarh,"SANSKAR BHARTI DEGREE COLLEGE FOR WOMAN,PALI"
West Bengal,Kolkata,Umes Chandra College
West Bengal,Barddhaman,"Dr. B.C. Roy Engineering College, Durgapur"
Uttar Pradesh,Kanpur Nagar,"DR. VISHAMBHAR SINGH PRATAP SINGH MAHAVIDYALAYA, TATIAGANJ,"
Gujarat,Mehsana,Acharya Motibhai Patel Institute of Computer Studies
Tamil Nadu,Namakkal,Trinity College for Women
Chhatisgarh,Dakshin Bastar Dantewada,"GOVERNMENT POLYTECHNIC, SUKMA"
Maharashtra,Pune,"Rajgad Dnyanpeeths Shri Chhatrapati Shivajiraje College of Engineering, Dhangwadi, Tal.Bhor, Dist. Pune 412206"
Manipur,Imphal West,D.M. College of Teachers' Education
Odisha,Kendujhar,"A.A.Training College, Fakirpur, Aanandapur"
Gujarat,Ahmedabad,Shri Darshanam Sanskrit Mahavidyalaya
Madhya Pradesh,Gwalior,M.P.C.T. COLLEGE OF MANAGEMENT
Maharashtra,Latur,"Vilasrao Deshmukh Foundations College of Engineering & Pharmacy, Latur"
Jammu and Kashmir,Kathua,"Govt. Degree College, Hiranagar"
Maharashtra,Nagpur,"Dayanand Arya Women's College, Jaripatka"
Maharashtra,Satara,"Jaywant Pratishthan Humagaon Sanchalit, Arts & Commerce College, MEDHA,"
Gujarat,Surat,Government Physiotherapy College
Gujarat,Anand,Shri Narayan Sanskrit Mahavidyalaya
Uttar Pradesh,Faizabad,"DESH DEEPAK ADARSH MAHAVIDYALAYA, TENDUAMAFI, BIKAPUR, FAIZABAD"
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),Shri Raghuraj Singh Kurauli
Tamil Nadu,Pudukkottai,Sri Bharathi Engineering College for Women
Chandigarh,Chandigarh,"Govt Post Graduate College, Sector-11"
Gujarat,Banas Kantha,SHRI AMBAJI BCA COLLEGE
Maharashtra,Mumbai Suburban,Mahatma Education Societys Pillais College of Education Chembur Naka Mumbai 400
Punjab,Ludhiana,"Doraha Institute of management and Technology, Doraha"
Gujarat,Ahmedabad,Smt. R. D. Shah Arts & Smt. V. D. Shah Commerce College
Uttar Pradesh,Agra,"SRI VIJAY SWARUP MAHILLA COLLEGE OF EDUCATION,SIKENDRA AGRA"
Uttar Pradesh,Deoria,"Shri Sangved Sanskrit Mahavidyalaya, Hatwa Bazar Bhatani"
Uttar Pradesh,Bareilly,"JYOTI COLLEGE OF MANAGEMENT SCIENCE AND TECHNOLOGY , BAREILLY"
Tamil Nadu,Salem,Sri Vidhya Mandir College of Arts & Science
Odisha,Jagatsinghapur,"Baisimauza College,Puran,Anakhia,Jagatsinghpur"
Odisha,Nayagarh,Dadhibaman Sanskrit College
Jammu and Kashmir,Kathua,"Govt. Degree College for Women, Kathua"
Telangana,Rangareddy,Teegala Krishna Reddy Engineering College
Maharashtra,Nashik,"Samarth Shaikshnik Samajik & Sanskrutik Pratisthans Samarth Shikshanshastra Mahavidyalaya, Kakadenagar, Satpur, Dist.Nashik"
Uttar Pradesh,Kanpur Dehat,"PREMA KATIYAR SIKSHAN SANSTHAN MAHAVIDYALAYA,"
Uttar Pradesh,Chandauli,LATE RAM VILAS SINGH SHIKSHAN SANSTHAN CHANDAULI
Karnataka,Shivamogga,"Acharya Tulsi National Commerce College, Shimoga."
Uttar Pradesh,Firozabad,"HARI MOHAN MARG SHRI KANYA MAHAVIDHALAYA,JASRANA,FIROZABAD"
Uttar Pradesh,Lucknow,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW"
Haryana,Bhiwani,"Ch.Bansi Lal G.C. for Women, TOSHAM"
Gujarat,Ahmedabad,Varahi Education College
Karnataka,Raichur,"Dr.M.Shivaraj M.Nagappa College of Business Management, Raichur"
Uttar Pradesh,Unnao,"KUNWAR RAM BHAROSE MAHAVIDYALAYA, HASANGANJ,"
Karnataka,Kalaburagi,Nivedita Degree College
Gujarat,Gandhinagar,SHREE SWAMINARAYAN POLYTECHNIC
Uttar Pradesh,Fatehpur,"THAKUR SHIV PRATAP SINGH MAHAVIDYALAYA, SHAH,"
Gujarat,Rajkot,"B. K. Mody Govt.Pharmacy College (Diploma), Rajkot"
Karnataka,Raichur,"Soma Subhadramma Ramangoud Arts & Commerce College for Women Station Road, Raichur-584"
Punjab,Patiala,"State College of Education, Patiala"
Gujarat,Mehsana,SHREE R K PATEL BCA COLLEGE NANIKADI
Maharashtra,Pune,"Audyogik Tantra Shikshan Sansthas Institute of Industrial and Computer Management and Research, Nigdi, Pune 411044"
Gujarat,Surat,M. L. Parmar Charitable Trust B.Sc. College
Maharashtra,Osmanabad,"Terna Public Charitable Trust's Terna Arts, Science & Commerce College"
Jammu and Kashmir,Jammu,Govt. College of Engineering & Technology
Telangana,Hyderabad,Sri Ram Degree College
Karnataka,Belagavi,"CTES'S COLLEGE OF EDUCATION, , CHIKKODI"
Tamil Nadu,Pudukkottai,"Mother Terasa College of Arts and Science, Mettusalai, Veerapatti Village, Illupur Post, Pudukkottai - 622 102."
Punjab,Patiala,"Kay Jay College of Education, Village Rasulpur, P.O. Chapper Seal Road, Patiala."
Gujarat,Navsari,S. B. Garda Arts College & P. K. Patel College of Commerce
Jammu and Kashmir,Jammu,"Govt. College for Women, Parade Ground"
Gujarat,Dang,Government Polytechnic Aahva-Dang
Gujarat,Mehsana,KADVA PATEL BED COLLEGE
Uttar Pradesh,Ambedkar Nagar,"BHANMATI SMARAK MAHAVIDYALAYA, NEAR NEW CIRCUIT HOUSE, AKBARPUR, AMBEDKARNAGAR"
Maharashtra,Pune,"Suryadatta Education Foundations Suryadatta College of Management Information Research and Technology, Maharshi Karve Nagar, Pune 411005"
Jammu and Kashmir,Samba,Bhargava College of Education
Maharashtra,Mumbai,Chembur Trombay Education Societys N G Acharya and D K Marathe College of Arts Science and Commerce Near Subhash Nagar N G Acharya Marg Chembur Mumbai 400
Uttar Pradesh,Unnao,"SATGURU DEGREE COLLEGE, DHANIKHERA,"
West Bengal,Barddhaman,Chandrapur College
Odisha,Balangir,"P.S.College,Belpada"
Kerala,Palakkad,"LEAD COLLEGE OF MANAGEMENT, DHONI"
Odisha,Balangir,STATE INSTITUTE OF HOTEL MANAGEMENT
Uttar Pradesh,Sitapur,"D.D.U. GOVT. P.G. COLLEGE,"
Haryana,Gurgaon,BASANT LAL MEMORIAL COLLEGE OF EDUCATION
Jammu and Kashmir,Reasi,"Govt. Degree College, Dharmari"
Uttar Pradesh,Banda,"RAM SEWAK SHIVHARE DEGREE COLLEGE, PACHNEHI"
Gujarat,Sabarkantha,VIJAYNAGAR ARTS COLLEGE
Uttar Pradesh,Bara Banki,"RAM KHILAWAN MAHAVIDYALAYA, GAURI SHANKAR GAURVA, MAJRE, SADULLAPUR, BARABANKI"
Gujarat,Mehsana,SHETH SHREE K J PATEL BBA COLLEGE NANI KADI
Punjab,Shahid Bhagat Singh Nagar,"K.C. College of Education, NawanShehar"
Haryana,Jhajjar,HARYANA INSTITUTE OF EDUCATION
Uttar Pradesh,Gorakhpur,"Sarvodaya Kisan Mahavidyalaya, Kaudiram, Gorakhpur"
Rajasthan,Jhunjhunun,"Shri Nawalgarh PG Mahila Mahavi., Jhunjhunun"
Punjab,Sahibzada Ajit Singh Nagar,"Centre for Development of Advanced Computing (C-DAC), Mohali"
Uttar Pradesh,Firozabad,"SRI KRISHNA COLLEGE OF EDUCATION FARIHA, FIROZABAD"
Jammu and Kashmir,Srinagar,"S. P. College, Srinagar"
Maharashtra,Pune,"Shivneri Adhyapak Mahavidyalaya, Khanapur, Tal. Junnar,Dist.Pune"
West Bengal,Nadia,SANTIPUR B ED COLLEGE
Punjab,Shahid Bhagat Singh Nagar,KC School of Management and Computer Application
Odisha,Mayurbhanj,"Chitrada Coqllege, Chitrada"
Telangana,Hyderabad,Badruka College PG Centre
Uttar Pradesh,Moradabad,"Rotary Institute of Management & Techonology, Chandausi"
Uttar Pradesh,Mahoba,"JAI BUNDELKHAND MAHAVIDHYALAYA, KULPAHAD"
Uttar Pradesh,Etawah,"SIDDHARTH MAHAVIDYALAYA, LUDHPURA, JASWANT NAGAR,"
Maharashtra,Pune,"Suryadatta College of Fine Arts, Wakad Road,Bavdhan,Pune"
Uttar Pradesh,Azamgarh,"MAA SHARDA JAMUNA MAHAVIDYALAY, TANDWAKHAS KHARIHANI"
Uttrakhand,Udham Singh Nagar,Unity Law College
Uttar Pradesh,Kanpur Nagar,"DAYANAND ACADEMY OF MANAGEMENT STUDIES, GOVIND NAGAR,"
Tamil Nadu,Virudhunagar,Sri Vidya College of Education
Uttar Pradesh,Unnao,"INSTITUTE OF PHARMACEUTICAL SCIENCES AND RESEARCH, UNNAO"
West Bengal,Murshidabad,Subhas Chandra Bose Centenary College
Uttar Pradesh,Hardoi,"DR. HARI SHANKAR MISHRA MAHAVIDYALAYA, MALIHAMAU,"
Maharashtra,Satara,Savitribai Phule Mahila Mahavidyalaya
Maharashtra,Solapur,DESHBHAKATA SAMBHAJIRAO GARAD MAHAVIDYALAYA. MOHOL-413213
Uttar Pradesh,Allahabad,"UNITED COLLEGE OF ENGINEERING AND MANAGEMENT, ALLAHABAD"
Punjab,Jalandhar,Sainik Institute of Management and Technology Jalandhar
Karnataka,Raichur,LVD College Raichur
Tamil Nadu,Nagapattinam,A.V.C. College of Engineering
Uttar Pradesh,Sitapur,"KHAITANJI LAW COLLEGE, TIRWA, LAKHIMPUR ROAD,"
Punjab,Jalandhar,KCL Institute of Management and Technology
Gujarat,Surat,B J Patel College of BCA
Karnataka,Mandya,"Govt Samskrita College, Melukote"
Odisha,Balangir,P.S.+3 Mahavidyalaya
Odisha,Balangir,"A.P.S.College,Roth"
Jammu and Kashmir,Punch,"Govt. Degree College, Mendhar"
Uttar Pradesh,Farrukhabad,"RAGHURAJ SINGH DEGREE COLLEGE, KUBERPUR,"
Jammu and Kashmir,Udhampur,"Govt. College for Women, Udhampur"
Tamil Nadu,Viluppuram,Sri Rangapoopathy College of Engineering
Uttar Pradesh,Hardoi,"DR. HARI SHANKAR MISHRA LAW COLLEGE, MALIHAMAU,"
Jammu and Kashmir,Rajouri,"Govt. Degree College, Nowshera"
West Bengal,North 24 Parganas,Heritage Business School
Gujarat,Ahmedabad,PHYSIOTHERAPY COLLEGE FOR VISUALLY IMPAIRED
Uttar Pradesh,Kannauj,"DEVANSHU SAMAJ KALYAN SEWA VIDHI MAHAVIDYALAYA, SAURIKH,"
Gujarat,Ahmedabad,Centre for Heritage Management
Punjab,Gurdaspur,Punjab Institute of Technology Dinanagar
Uttar Pradesh,Rae Bareli,"SARDAR VALLABH BHAI PATEL MAHAVIDYALAYA, TAMANPUR,"
Maharashtra,Pune,"Abhinav Education Societys College of Education, Pune"
Jharkhand,Bokaro,"VISTHAPIT COLLEGE, BALIDIH, BOKARO"
Telangana,Warangal,"SRI VIKAS DEGREE COLLEGE, NEKKONDA"
Karnataka,Bidar,"ALLAM IQBAL EDUCATION SOCIETYs SHAHEEN DEGREE COLLEGE FOR WOMEN, BIDAR"
Rajasthan,Jhunjhunun,"SN Girls B.Ed. College, Jhunjhunun"
Gujarat,Ahmedabad,Government Polytechnic Ahmedabad
Tamil Nadu,Krishnagiri,P.S.V.College of Engineering and Technology
Uttar Pradesh,Shahjahanpur,ACCORD BUSINESS COLLEGE
West Bengal,North 24 Parganas,NIMAS
Maharashtra,Ahmadnagar,"Navmaharashtra Shikshan Mandals College of Education, Shevgaon, Dist.Ahmednagar 414502"
Madhya Pradesh,Morena,GOVT. PG COLLEGE
Madhya Pradesh,Shahdol,"Government Abhyananda Sanskrit College, Kalyanpur"
Maharashtra,Bhandara,"Dr Arun Motghare M Ed College, Kondha"
Uttar Pradesh,Ambedkar Nagar,"BIHARI LAL SMARAK KISAN MAHAVIDYALAYA, AAMA DARVESHPUR, AMBEDKAR NAGAR"
Daman & Diu,Diu,DIU COLLEGE
Telangana,Hyderabad,John Bauer College of Hotel Management
Odisha,Dhenkanal,"+3 sanda College, Sanda, Hindol Road, Dhenkanal"
Punjab,Jalandhar,"Apeejay Institute of Management, Jalandhar"
Gujarat,Navsari,"GOVERNMENT POLYTECHNIC, NAVSARI"
Karnataka,Bagalkot,"GOVT. FIRST GRADE COLLEGE, HUNAGUND"
West Bengal,Bankura,Uttaran College of Education
Jharkhand,Dhanbad,"P. K. ROY MEMORIAL COLLEGE, DHANBAD"
Maharashtra,Nashik,"N.D.M.V.P.Samajs College of Arts & Commerce College,Khedgaon Tal. Dindori, Dist. Nashik 4222205"
Uttar Pradesh,Kannauj,"DEVANSHU SAMAJ KALYAN SEWA DEG. COLL. MAHADEV NAGAR, SAURIK,"
Madhya Pradesh,Jabalpur,"Nagar Nigam Shri Loknath Shastri Sanskrit College, Govindgunj, Jabalpur"
Gujarat,Surat,Shri V.T.Choksi Suryapur Sanskrit Mahavidyalaya
Uttar Pradesh,Faizabad,"Srimad Balmukund Mahadeshik Sanskrit Mahavidyalaya, Swarg Dwar, Ayodhya"
Uttar Pradesh,Kanpur Dehat,"JANTA MAHAVIDYALAYA, GAURIKARAN,"
Uttar Pradesh,Kannauj,"GANGA SINGH MAHAVIDYALAYA, SULTANPUR, HUSEPUR, SAURIKH,"
Uttar Pradesh,Deoria,"Shri Savitri Sanskrit Pathshala, Karjaniya,Bhupatipura"
Madhya Pradesh,Sidhi,"GOVERNMENT COLLEGE, KUSMI"
Uttar Pradesh,Deoria,"Shri Vidyadharm Pracharini Sanskrit Mahavidyalaya, Bhawani Chhapar"
Gujarat,Surat,"Sarvajanik Intitute of Interior Design, Fine Arts & Performing Arts"
Uttar Pradesh,Kannauj,"SW. MAHADEV PRASAD SMARAK MAHILA MAHAVIDYALAYA,"
Uttar Pradesh,Kannauj,"BAHUUDDASIYA SEWA SHIKSHA SANSTHAN GIRLS DEG. COLL., SAURIK,"
Uttar Pradesh,Auraiya,"HARGOVIND SINGH MEMORIAL DEGREE COLLEGE,ERVA KATRA"
Odisha,Bhadrak,Damodar Sanskrit College
Punjab,Rupnagar,Sainik Institute of Management and Technology
Uttar Pradesh,Hardoi,SRI SHIV RAJ SINGH MAHAVIDYALAYA
Uttar Pradesh,Etawah,"Shri Ram Adarsh Sanskrit Ayurveda Vidya Mandir, Maheva"
West Bengal,North 24 Parganas,Prasanta Chandra Mahalanobish Mahavidyalaya
Uttar Pradesh,Kanpur Nagar,"DR. RAM PRAKASH SMARAK MAHAVIDYALAYA,PARAS"
Uttar Pradesh,Faizabad,"UDAI MAHAVIDYALAYA, RUSIA MAFI, BIKAPUR, FAIZABAD"
Jammu and Kashmir,Kupwara,"Govt. Degree College Kupwara, Kashmir"
Uttar Pradesh,Deoria,"Radha Krishna Sanskrit Mahavidyalaya, Laxminiwas Bagh"
Tamil Nadu,Salem,Sri Ganesh School of Business management
Gujarat,Kutch,Dr.H R Gajwani College of Education
Haryana,Bhiwani,"GOVT. COLLEGE FOR WOMEN, BADHRA"
Jammu and Kashmir,Anantnag,"Govt. Degree College Uttersoo, Kashmir"
Uttar Pradesh,Gorakhpur,"Shrinath Chandravati Sanskrit Pathshala, Jagdishpur"
Punjab,Jalandhar,Lyallpur Khalsa College of Engineering
Odisha,Nuapada,P.S.+3 Degree College
Uttar Pradesh,Fatehpur,"SW TH RAM AUTAR SINGH, MAHAVIDYALAYA, GHURI BUJURG"
Gujarat,Bharuch,Mahamandleshwar Shri Krishnandji Law College
Tripura,West Tripura,Ramthakur College
West Bengal,Kolkata,VIHARILAL COLLEGE OF EDUCATION
Gujarat,Mehsana,SMT C K PATEL MSC(CA&IT) COLLEGE NANIKADI
Uttar Pradesh,Rae Bareli,"SARDAR PATEL MAHADEV PRASAD MAHAVIDHYALAYA,LALGANJ"
Gujarat,Mehsana,"VRUNDAVAN B Sc COLLEGE, GANESHPURA"
Gujarat,Ahmedabad,Smt. Laxmiben & Chimanlal Mehta Arts College
Gujarat,Mehsana,SWAMI VIVEKANAND EDUCATION TRUST SANCHALIT SCIENCE COLLEGE
Gujarat,Junagadh,LAW COLLEGE-JUNAGADH
Karnataka,Raichur,VCEB's Degree College lingasoogur
Karnataka,Bengaluru Urban,"RajaRajesheshwari College of Engineering, BANGALORE"
Gujarat,Anand,"Shree JM Patel Arts College, Anand"
Gujarat,Ahmedabad,Desai C. M. Arts & Commerce College
Gujarat,Mehsana,"SHREE GANESHBHAI NAGJIBHAI PATEL COMMERCE COLLEGE, NANIKADI"
Maharashtra,Kolhapur,Gopal Krishna Gokhale College
Maharashtra,Kolhapur,"The New College,Shivaji Peth"
Gujarat,Valsad,"SHRIMAD RAJCHANDRA VIDYAPEETH, DHARAMPUR"
Gujarat,Banas Kantha,"Government Polytechnic,Palanpur"
Andhra Pradesh,Chittoor,Siddartha Educational Academy Group of Institutions (Integrated Campus) Tirupathi
Gujarat,Junagadh,SHRI J.N.BHATU COLLEGE OF EDUCATION-JUNAGADH
Jammu and Kashmir,Jammu,Chenab College of Education
Andhra Pradesh,Chittoor,"Sri Srinivasa Degree College, Madanapalle Urban"
Gujarat,Porbandar,SHRI V.J.MODHA COLLEGE OF INFORMATION TECH.-PORBANDAR
West Bengal,Barddhaman,Galsi Mahavidyalaya
Punjab,Ludhiana,"A.S.College of Education, Kalalmajra"
Tamil Nadu,Namakkal,KRP College of Education
Gujarat,Surendranagar,"SMT. S.J.VARMORA B.B.A./B.C.A. MAHILA COLLEGE, WADHWANCITY"
Gujarat,Patan,N M SHAH ARTS COMMERCE COLLEGE SHANKHESWAR
Maharashtra,Pune,"Sinhgad Technical Education Societys Smt. Kashibai Navale College of Engineering, Vadgaon bk., Sinhgad road, Pune"
Maharashtra,Thane,Oswal Shikshan & Rahat Sangh Sanchalit Shree Halari Visa Oswal College of Commerce at Near Bhiwandi Road Railway Station Anjurphata Bhiwandi Dist Thane
Maharashtra,Mumbai,Laxmi Education Societys Seth Laherchand Uttamchand Jhaveri College of Arts Sir Mathurdas Vissonji College of Science and Commerce Dr S Radh Krishna Marg Andheri East Mumbai - 400
Karnataka,Raichur,Smt R.Subhodramma Vitthoba Shetty Arts college Manvi
